id;letoGradnje;parkirisce;povrsina;oddaljenost;skCena
0;2006;1;87;4.09;1025
1;;0;25;1.98;460
2;2004;1;75;1.76;900
3;1970;0;12;2.38;250
4;1970;0;50;2.38;570
5;2006;1;37.1;2.39;490
6;2017;1;70.2;2.08;950
7;2016;1;55;2.24;1006
8;1926;1;97.1;1.08;990
9;1960;0;44;2.18;1000
10;2004;1;52;4.12;600
11;;0;12;1.76;350
12;1963;0;65;1.76;750
13;;0;12;2.09;275
14;1975;0;13;3.21;205
15;2005;1;45;1.67;1000
16;1987;0;56;2.08;750
17;2016;0;110;2.09;1100
18;1957;0;35.9;3.04;650
19;2009;1;121.65;4.67;1800
20;2004;1;118.5;1.76;1500
21;2010;1;70;2.84;670
22;1989;1;15;3.82;250
23;1956;0;12;1.81;295
24;;0;9;3.04;200
25;1928;1;142;1.02;1370
26;1928;1;112;1.02;1570
27;2016;0;55;2.25;876
28;1983;0;84;0.97;1200
29;1980;0;80;2.41;890
30;1970;1;88;2.41;890
31;1970;1;93;1.35;1100
32;1982;0;93;2.41;1100
33;1895;1;100;2.41;1050
34;;1;110;2.41;900
35;2005;1;207.9;0.89;3500
36;1973;0;29;2.41;550
37;2005;0;45;1.67;800
38;;0;58;1.32;550
39;2004;1;60;2.18;900
40;1936;1;60;2.37;550
41;1963;0;65;1.17;750
42;1935;0;71;2.18;200
43;1963;0;71.9;1.6;870
44;1990;0;72;2.18;790
45;2006;1;72.3;2.18;640
46;1995;1;74;2.18;900
47;2007;1;79;2.86;1000
48;2007;1;80;2.86;925
49;2000;0;85;4.09;1010
50;1952;1;90;1.76;1550
51;2017;1;100;2.18;1900
52;2002;1;100.96;2.94;1000
53;2007;1;108;2.18;1050
54;2000;1;140;2.18;3250
55;1996;1;146.3;2.94;2200
56;2001;0;149.7;2.18;3350
57;2000;0;150;2.18;3600
58;2000;0;150;2.18;3700
59;2008;1;164;2.81;1800
60;;0;45;2.18;580
61;1974;0;12;3.78;160
62;2008;1;57;4.09;850
63;2002;0;30.8;3.12;580
64;2002;1;40;2.94;600
65;2015;1;49.2;3.45;640
66;1974;1;72;3.12;500
67;2007;1;78;3.12;750
68;1935;1;85;3.12;650
69;2010;1;45;5.07;630
70;2012;0;75;3.65;750
71;2014;1;47.8;3.68;600
72;2015;1;86.26;3.68;1200
73;2020;1;115;4.79;1550
74;2020;1;119;4.79;1200
75;;1;12;3.75;250
76;1995;1;130;3.75;1250
77;2000;1;150;3.75;3100
78;1978;1;13;2.16;200
79;1980;0;20;2.16;160
80;2000;1;105;2.16;1300
81;1992;1;10;1.42;280
82;2019;1;127;1.38;2300
83;1980;0;15;;250
84;1990;0;16;2.18;165
85;;0;27;2.18;450
86;2016;0;27.4;2.18;730
87;2000;1;34;2.18;420
88;2004;1;29.4;2.18;450
89;1975;0;37.2;2.18;530
90;1990;0;40;2.6;680
91;2018;1;55.28;2.12;856
92;2003;0;22;1.94;380
93;1980;0;28;2.63;400
94;1968;0;52;1.73;750
95;1968;0;60;2.24;800
96;1968;0;73.3;2.2;850
97;2003;0;90;2.24;900
98;;1;75;2.81;750
99;1935;1;40;2.01;600
100;1967;0;15;1.08;350
101;1900;0;35;1.43;600
102;;0;50;1.43;700
103;1930;0;58;1.43;780
105;1961;0;65;1.43;890
107;1969;1;92;;1130
108;1952;1;100;1.43;1700
109;1905;0;118;1.43;1000
110;2014;1;122;1.43;1500
111;1961;0;65;1.43;890
112;2018;0;20;1.9;250
113;;0;19;1.43;300
114;1908;0;28;1.8;620
115;2006;1;45;1.43;770
116;1969;0;14;4.56;170
117;1980;0;15;4.56;190
118;2003;0;36;;350
119;1965;0;37;4.56;500
120;2018;1;45;;640
121;;1;55;4.56;710
122;1974;1;69;;870
123;2010;1;80;3.49;800
125;1960;1;125;4.56;950
126;1987;0;12;4;250
127;1987;0;12;4.46;250
128;2020;0;28;3.36;490
129;2012;0;80;3.42;900
130;1967;1;90;4.56;830
131;1970;0;12;;250
132;1985;0;16;2.41;220
133;;1;45;2.41;890
134;1965;1;55;1.25;920
135;1968;0;55;2.41;740
136;2017;1;56;2.41;1000
137;2005;1;59;1;700
138;2005;1;59;1.63;700
139;2004;1;59;1.09;700
140;1995;1;68;2.41;850
141;1995;1;68.4;2.41;850
142;;0;70;2.41;800
143;1895;1;80;2.41;800
